"","tradetopicscore"
"1277",10365
"1278",3608
"1279",6162
"1280",1768
"1281",8574
"1282",1137
"1283",5495
"1284",3582
"1285",2341
"1286",9268
"1287",1535
"1288",8961
"1289",9216
"1290",3060
"1291",10045
"1292",5673
"1293",8114
"1294",3098
"1295",9611
"1296",2645
"1297",9884
"1298",10941
"1299",9724
"1300",5507
"1301",12281
"1302",6726
"1303",2322
"1304",3950
"1305",3630
"1306",10038
"1307",7810
"1308",877
"1309",4037
"1310",3761
"1311",2033
"1312",10357
"1313",6085
"1314",4093
"1315",12397
"1316",3526
"1317",3907
"1318",10077
"1319",10769
"1320",9290
"1321",10111
"1322",8874
"1323",2139
"1324",1214
"1325",5939
"1326",2295
"1327",7455
"1328",1905
"1329",5721
"1330",1834
"1331",7068
"1332",3799
"1333",2571
"1334",4999
"1335",4954
"1336",7802
"1337",2681
"1338",8570
"1339",7667
"1340",11904
"1341",9967
"1342",10411
"1343",4761
"1344",3244
"1345",9355
"1346",851
"1347",7665
"1348",5147
"1349",8429
"1350",2296
"1351",2423
"1352",9670
"1353",11512
"1354",7547
"1355",3507
"1356",5992
"1357",6619
"1358",1244
"1359",10076
"1360",3092
"1361",11314
"1362",7037
"1363",3058
"1364",1459
"1365",2013
"1366",1182
"1367",12194
"1368",6261
"1369",5185
"1370",10103
"1371",7206
"1372",8031
"1373",4210
"1374",10635
"1375",5860
"1376",10459
"1377",11403
"1378",8787
"1379",10001
"1380",2378
"1381",3806
"1382",4113
"1383",9681
"1384",4589
"1385",4030
"1386",205
"1387",10557
"1388",3403
"1389",2470
"1390",11270
"1391",4978
"1392",6959
"1393",4026
"1394",8437
"1395",4192
"1396",3088
"1397",12308
"1398",1443
"1399",3870
"1400",373
"1401",3354
"1402",328
"1403",7723
"1404",5873
"1405",413
"1406",5906
"1407",10735
"1408",670
"1409",11410
"1410",55
"1411",9022
"1412",4247
"1413",131
"1414",12143
"1415",8163
"1416",10317
"1417",9122
"1418",12378
"1419",7346
"1420",363
"1421",11300
"1422",10299
"1423",93
"1424",147
"1425",4328
"1426",605
"1427",4572
"1428",1892
"1429",10733
"1430",11680
"1431",10581
"1432",3163
"1433",5450
"1434",8972
"1435",9491
"1436",10678
"1437",235
"1438",1910
"1439",3613
"1440",3252
"1441",3833
"1442",9424
"1443",4272
"1444",937
"1445",5610
"1446",533
"1447",5330
"1448",4135
"1449",2781
"1450",11160
"1451",5989
"1452",10354
"1453",11898
"1454",1806
"1455",6747
"1456",11320
"1457",5815
"1458",8460
"1459",3571
"1460",6001
"1461",15
"1462",9899
"1463",11318
"1464",10857
"1465",429
"1466",8184
"1467",407
"1468",6643
"1469",10923
"1470",1499
"1471",8849
"1472",3581
"1473",5184
"1474",1160
"1475",7487
"1476",7104
"1477",2501
"1478",11767
"1479",11332
"1480",6487
"1481",3814
"1482",634
"1483",9910
"1484",25
"1485",11304
"1486",136
"1487",5024
"1488",3561
"1489",599
"1490",6685
"1491",9333
"1492",1960
"1493",104
"1494",4001
"1495",3127
"1496",3922
"1497",6099
"1498",11748
"1499",3897
"1500",5023
"1501",2332
"1502",6809
"1503",3766
"1504",3409
"1505",7274
"1506",9605
"1507",11421
"1508",12255
"1509",11952
"1510",9930
"1511",2391
"1512",9620
"1513",11146
"1514",3469
"1515",1864
"1516",1337
"1517",9385
"1518",8543
"1519",6968
"1520",3570
"1521",8332
"1522",3045
"1523",10506
"1524",7110
"1525",9300
"1526",9172
"1527",9210
"1528",1797
"1529",2786
"1530",3752
"1531",2167
"1532",9817
"1533",8677
"1534",1551
"1535",6370
"1536",6574
"1537",259
"1538",4696
"1539",10813
"1540",12107
"1541",11117
"1542",8153
"1543",2006
"1544",8314
"1545",10251
"1546",12030
"1547",5471
"1548",10776
"1549",3358
"1550",4223
"1551",566
"1552",2879
"1553",7239
"1554",1373
"1555",8825
"1556",6764
"1557",9330
"1558",10707
"1559",7064
"1560",532
"1561",7812
"1562",4490
"1563",10887
"1564",11412
"1565",8842
"1566",5571
"1567",11601
"1568",8845
"1569",3352
"1570",8104
"1571",3014
"1572",3034
"1573",7950
"1574",1108
"1575",2657
"1576",10543
"1577",3729
"1578",2157
"1579",11701
"1580",6411
"1581",11152
"1582",644
"1583",7742
"1584",12359
"1585",5397
"1586",6476
"1587",2877
"1588",9601
"1589",242
"1590",9082
"1591",4608
"1592",645
"1593",8338
"1594",600
"1595",2445
"1596",319
"1597",10
"1598",9799
"1599",2012
"1600",494
"1601",11973
"1602",6015
"1603",1980
"1604",113
"1605",4642
"1606",11871
"1607",6515
"1608",3575
"1609",483
"1610",9946
"1611",3103
"1612",11008
"1613",2710
"1614",3164
"1615",4521
"1616",5365
"1617",3080
"1618",4527
"1619",8511
"1620",2912
"1621",5019
"1622",10408
"1623",1469
"1624",5176
"1625",7924
"1626",5650
"1627",8235
"1628",11609
"1629",1549
"1630",2059
"1631",8669
"1632",8527
"1633",12155
"1634",1473
"1635",3097
"1636",1019
"1637",1395
"1638",12306
"1639",3954
"1640",7224
"1641",7555
"1642",5983
"1643",5434
"1644",10275
"1645",11296
"1646",3583
"1647",2846
"1648",4829
"1649",11425
"1650",5094
"1651",4235
"1652",3279
"1653",10134
"1654",3610
"1655",10048
"1656",4595
"1657",837
"1658",7544
"1659",8578
"1660",7825
"1661",3940
"1662",10235
"1663",1510
"1664",1357
"1665",7369
"1666",35
"1667",11214
"1668",4484
"1669",10652
"1670",10039
"1671",5284
"1672",4250
"1673",4243
"1674",8901
"1675",7486
"1676",11020
"1677",9918
"1678",9993
"1679",3356
"1680",1430
"1681",9302
"1682",8199
"1683",3866
"1684",1368
"1685",8188
"1686",99
"1687",4995
"1688",222
"1689",10763
"1690",6105
"1691",3121
"1692",7124
"1693",9997
"1694",2866
"1695",1611
"1696",4656
"1697",11216
"1698",9435
"1699",2174
"1700",5834
"1701",3597
"1702",5496
"1703",8033
"1704",4448
"1705",1069
"1706",2952
"1707",7319
"1708",11643
"1709",6880
"1710",1519
"1711",6169
"1712",4992
"1713",4270
"1714",9577
"1715",7774
"1716",10395
"1717",1340
"1718",11851
"1719",2510
"1720",11372
"1721",3553
"1722",50
"1723",6950
"1724",8043
"1725",10954
"1726",2448
"1727",10136
"1728",9921
"1729",11245
"1730",1798
"1731",10364
"1732",5052
"1733",2438
"1734",2008
"1735",8126
"1736",8939
"1737",8007
"1738",11957
"1739",9214
"1740",11316
"1741",10963
"1742",9389
"1743",10311
"1744",9436
"1745",5736
"1746",914
"1747",11576
"1748",3624
"1749",9430
"1750",1942
"1751",11867
"1752",5079
"1753",870
"1754",1207
"1755",3997
"1756",11753
"1757",3359
"1758",6496
"1759",11365
"1760",4326
"1761",12689
"1762",10657
"1763",6501
"1764",1471
"1765",1049
"1766",228
"1767",8263
"1768",12688
"1769",8210
"1770",11240
"1771",2658
"1772",10495
"1773",7074
"1774",4822
"1775",4316
"1776",1363
"1777",5965
"1778",9084
"1779",9128
"1780",10224
"1781",1586
"1782",2814
"1783",8932
"1784",8535
"1785",3770
"1786",4981
"1787",6157
"1788",4120
"1789",8792
"1790",7880
"1791",2837
"1792",11335
"1793",5158
"1794",4997
"1795",8103
"1796",6926
"1797",7888
"1798",7590
"1799",186
"1800",4710
"1801",4961
"1802",10337
